Koenigsegg	Regera		2016	2022
Bugatti	Veyron	16.4	2005	2011
Bugatti	Veyron 	16.4 Super Sport	2010	2011
Bugatti	Veyron	16.4 Grand Sport Vitesse	2012	2015
Bugatti	Veyron	16.4 Grand Sport	2009	2015
Ferrari	F40		1987	1992
Lamborghini	Aventador	SuperVeloce LP 750-4	2015	2017
McLaren	P1		2013	2015
Ferrari	LaFerrari		2013	2016
Ferrari 	458	Spider	2011	2015
Ferrari	458	Italia	2009	2015
